Word,Frequency
system,30
gamification,24
engagement,18
machine,17
learning,15
study,12
data,11
skills,9
user,9
technology,9
information,7
technologies,7
activity,7
systems,7
results,7
research,7
framework,7
ieee,6
education,6
motivation,6
algorithm,6
design,6
authors,5
level,5
learners,5
students,5
lecture,5
analysis,5
activities,5
recognition,5
algorithms,5
accuracy,5
techniques,5
network,5
communities,5
problem,5
selection,5
communication,4
need,4
work,4
approach,4
networks,4
student,4
environment,4
performance,4
identification,4
paper,4
time,4
applications,4
living,4
solutions,4
interaction,4
endusers,4
switzerland,4
heis,4
crowdact,4
acm,4
bandits,4
factors,4
performers,4
gap,3
feedback,3
implementation,3
case,3
tasks,3
cyber,3
security,3
hackers,3
values,3
challenges,3
training,3
interventions,3
course,3
sign,3
language,3
method,3
way,3
hand,3
life,3
games,3
nature,3
romania,3
society,3
impact,3
publication,3
detection,3
integration,3
platform,3
covid19,3
experience,3
etc,3
intelligence,3
rewards,3
exploration,3
teams,3
optimality,3
surgeons,3
hrs,3
validity,3
shopfloor,2
operators,2
order,2
content,2
operator,2
job,2
response,2
attempts,2
manner,2
users,2
university,2
participation,2
questionnaire,2
elements,2
assessment,2
perceptions,2
form,2
lives,2
leap,2
motion,2
controller,2
movements,2
signs,2
models,2
asl,2
stimulation,2
ambient,2
mobility,2
chance,2
admissions,2
events,2
community,2
partners,2
proof,2
concept,2
interface,2
acceptability,2
springer,2
market,2
transformations,2
serbia,2
policy,2
introduction,2
methodologies,2
institutions,2
survey,2
knowledge,2
difficulties,2
opportunities,2
methods,2
ethics,2
iot,2
mdpi,2
basel,2
collaborators,2
collaborations,2
realworld,2
purpose,2
interests,2
inaccuracy,2
labeling,2
lack,2
second,2
crowdsourcing,2
world,2
source,2
features,2
theories,2
practice,2
play,2
studies,2
problems,2
behaviour,2
importance,2
tools,2
fun,2
bestarm,2
rights,2
novice,2
scoring,2
image,2
experiment,2
industry,2
units,2
talent,2
employees,2
process,2
fatigue,2
heuristics,2
assessments,2
times,2
tests,2
creation,2
sample,2
respondents,2
convergent,2
rhythms,2
workforces,1
diversity,1
gaps,1
production,1
demands,1
selffulfillment,1
selfactualization,1
distribution,1
manufacturing,1
prototype,1
rotation,1
workstations,1
measure,1
person,1
plan,1
adversary,1
probability,1
actions,1
wellknown,1
probabilities,1
specialpurpose,1
machinelearning,1
sum,1
estimation,1
observation,1
participants,1
number,1
competitions,1
adminowner,1
difficulty,1
openend,1
skill,1
faculty,1
online,1
campus,1
place,1
metrics,1
group,1
focus,1
periods,1
feelings,1
attitudes,1
interactions,1
concepts,1
development,1
promise,1
millions,1
people,1
voice,1
today,1
speech,1
word,1
individual,1
dictionary,1
range,1
healthcare,1
tracking,1
piece,1
hardware,1
symbols,1
solution,1
goal,1
reward,1
aal,1
ecosystem,1
willingness,1
struggle,1
competencies,1
requests,1
reforms,1
teaching,1
pisa,1
requirements,1
economy,1
index,1
inequity,1
strategy,1
management,1
romanian,1
teachers,1
schoolits,1
haret,1
instructors,1
breakthroughs,1
possibilitiesthe,1
material,1
abilities,1
changes,1
future,1
colleges,1
office,1
simulation,1
vrar,1
longterm,1
mindset,1
growth,1
academia,1
services,1
domain,1
map,1
geolocation,1
locations,1
collaboration,1
publications,1
scopus,1
database,1
cooperation,1
summary,1
keywords,1
target,1
novel,1
sensing,1
capability,1
feasibility,1
model,1
settings,1
setup,1
workers,1
labels,1
classes,1
smartphone,1
sensors,1
quality,1
baseline,1
statistics,1
worker,1
findings,1
directions,1
collection,1
dimension,1
needs,1
ways,1
oncampus,1
interfaces,1
tutorial,1
outcome,1
experiences,1
cuttingedge,1
ages,1
status,1
speciallearners,1
occasion,1
borders,1
anomaly,1
preparations,1
cloud,1
storage,1
backup,1
intervention,1
functioning,1
result,1
output,1
ideas,1
observations,1
understanding,1
reinforcement,1
motivational,1
theory,1
flow,1
psychology,1
value,1
harm,1
aspect,1
internet,1
forum,1
discussion,1
dialogue,1
deliberation,1
debate,1
media,1
consensus,1
understandings,1
government,1
citizenry,1
formation,1
opinion,1
bubbles,1
echo,1
chamber,1
effect,1
ifip,1
international,1
federation,1
gameaalgamification,1
goals,1
unlocks,1
badges,1
organizations,1
team,1
members,1
possibility,1
factor,1
daytoday,1
objectives,1
drives,1
addition,1
strategies,1
approaches,1
sectors,1
sector,1
paradigm,1
shift,1
increase,1
productivity,1
pureexploration,1
context,1
stochastic,1
multiarm,1
existence,1
despite,1
comparison,1
insight,1
notions,1
goptimality,1
transductive,1
fixedconfidence,1
consequence,1
bypasses,1
pitfall,1
instance,1
neurosurgery,1
technique,1
video,1
capture,1
score,1
neurosurgeons,1
instruments,1
gauze,1
novices,1
usability,1
scale,1
sus,1
pandemic,1
health,1
pharmaceutical,1
law,1
chambers,1
micro,1
suppliers,1
transportation,1
organization,1
size,1
category,1
workforce,1
culture,1
profiles,1
analytics,1
automation,1
gradations,1
pace,1
cutting,1
culturetech,1
service,1
crisis,1
projects,1
jobs,1
computation,1
boredom,1
attention,1
use,1
mechanism,1
subjects,1
version,1
mutation,1
experimentation,1
circumstances,1
expertise,1
copyright,1
ownerauthors,1
acquisition,1
candidates,1
candidate,1
completion,1
rates,1
issues,1
testing,1
avenue,1
traction,1
personnel,1
properties,1
potential,1
fiveminute,1
forcedchoice,1
personality,1
traits,1
pairs,1
bestperforming,1
items,1
levels,1
ipipneo120,1
openness,1
conscientiousness,1
extraversion,1
agreeableness,1
stability,1
implications,1
recruitment,1
validation,1
sightreading,1
forms,1
barrier,1
musicians,1
isolation,1
starting,1
styles,1
curriculum,1
consideration,1
weaknesses,1
reece,1
godfrey,1
matthew,1
rimmer,1
chris,1
headle,1
charles,1
fox,1
